RegionName,CountryName,State,City,WarehouseName,CategoryName,ProductName,ProductStandardCost,Profit,ProductListPrice,CustomerCreditLimit,Status,OrderDate,OrderItemQuantity,PerUnitPrice,TotalItemQuantity
4,5,7,6,6,0,168,0.24573738676577314,1.3905717516500322,0.3180587841943285,1.9355624287454605,2,41,1.2568468890735458,-0.5233570525790714,-0.025165347269016192
4,5,7,6,6,0,165,0.1196510115558354,1.0195492589156183,0.17451388985322183,1.9355624287454605,2,46,1.0217024757763438,-0.4524919901643498,-0.010318534720923984
4,5,7,6,6,0,167,0.05183916660745621,1.7157282422584272,0.1487043606352844,-0.5439348138497713,0,9,0.08112482258753491,-0.05458466470568827,-0.010318534720923984
4,5,7,6,6,0,166,0.07728287716179327,0.8694709755642195,0.12482162368261049,0.23906431539082826,1,37,1.1392746824249447,0.015217421772812465,0.004528277827168225
4,5,7,6,6,0,154,0.046464817564345416,1.180454280966292,0.11278199557727131,-0.5439348138497713,2,19,0.49262754585763874,-1.0335855019650666,0.019375090375260435
4,5,7,6,6,0,162,0.026202100625907103,1.248328090121017,0.09702883114825889,-1.0006843059067878,2,35,1.7271357156679503,-0.4105398732148346,0.019375090375260435
4,5,7,6,6,0,164,0.06730993036788037,0.33762220069694565,0.08463682368373905,-1.0006843059067878,0,1,1.1098816307627946,-0.25406981540312945,0.03422190292335264
4,5,7,6,6,0,163,-0.007525608713563008,1.1806905007197308,0.06044462537075898,1.0220634446314278,2,18,1.4332051990464476,-1.1115370706212602,0.3756985915294735
4,5,7,6,6,0,161,-0.004455217712774104,1.0894309359745724,0.0581857833247291,0.23906431539082826,0,23,0.8159511141412917,-0.058099571801458486,0.39054540407756566
4,5,7,6,6,0,134,0.029708123733788186,0.2758901051316273,0.044634989890595916,1.0220634446314278,1,8,-1.623672173817181,-0.7926442897550132,0.39054540407756566
4,5,7,6,6,0,158,0.017629233491686186,0.15215032428864542,0.02582335333125905,-1.0006843059067878,2,45,-0.9182389339255744,-0.4105398732148346,0.4053922166256579
